No,Type,Threat_type,Itype,Status,Value,Severity,IOC_type,ThreatScore,Created_ts,Organization,Confidence,Source_reported_confidence
525,ip,spam,spam_ip,active,113.179.43.146,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),95,60
526,ip,spam,spam_ip,active,115.72.186.153,low,gov,22,2021-03-21,Viettel Group,87,60
527,ip,spam,spam_ip,active,27.3.81.100,low,gov,18,2021-03-21,SaiGon Tourist cable Televition Company,72,60
528,ip,spam,spam_ip,active,123.16.71.131,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
529,ip,spam,spam_ip,active,14.170.90.53,low,gov,15,2021-03-21,Vietnam Posts and Telecommunications(VNPT),58,60
530,ip,spam,spam_ip,active,1.52.153.95,low,gov,25,2021-03-21,FPT Telecom,99,60
531,ip,spam,spam_ip,active,113.191.64.182,low,gov,11,2021-03-21,Vietnam Posts And Telecommunications Group,42,60
532,ip,spam,spam_ip,active,14.187.110.60,low,gov,21,2021-03-21,Vietnam Posts and Telecommunications(VNPT),81,60
533,ip,spam,spam_ip,active,1.53.36.115,low,gov,25,2021-03-21,FPT Telecom Company,100,60
534,ip,spam,spam_ip,active,183.81.51.124,low,gov,25,2021-03-21,FPT Telecom Company,99,60
535,ip,spam,spam_ip,active,14.165.19.17,low,gov,13,2021-03-21,Vietnam Posts and Telecommunications(VNPT),52,60
536,ip,spam,spam_ip,active,1.53.204.32,low,gov,25,2021-03-21,FPT Telecom Company,99,60
537,ip,spam,spam_ip,active,113.183.122.238,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
538,ip,spam,spam_ip,active,14.250.209.45,low,gov,7,2021-03-21,Vietnam Posts And Telecommunications Group,28,60
539,ip,spam,spam_ip,active,113.181.233.31,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
540,ip,spam,spam_ip,active,27.77.68.243,low,gov,23,2021-03-21,Viettel Group,91,60
541,ip,spam,spam_ip,active,116.108.69.138,low,gov,25,2021-03-21,Viettel Corporation,100,60
542,ip,spam,spam_ip,active,14.179.233.1,low,gov,24,2021-03-21,Vietnam Posts And Telecommunications Group,94,60
543,ip,spam,spam_ip,active,27.71.161.252,low,gov,25,2021-03-21,Viettel Group,100,60
544,ip,spam,spam_ip,active,113.179.138.72,low,gov,21,2021-03-21,Vietnam Posts and Telecommunications(VNPT),82,60
545,ip,spam,spam_ip,active,42.116.166.150,low,gov,25,2021-03-21,FPT Telecom Company,99,60
546,ip,spam,spam_ip,active,14.243.156.62,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
547,ip,spam,spam_ip,active,14.228.200.0,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),98,60
548,ip,spam,spam_ip,active,113.162.106.139,low,gov,12,2021-03-21,Vietnam Posts and Telecommunications(VNPT),48,60
549,ip,spam,spam_ip,active,42.118.99.41,low,gov,25,2021-03-21,FPT Telecom Company,100,60
550,ip,spam,spam_ip,active,113.177.123.21,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
551,ip,spam,spam_ip,active,14.172.72.118,low,gov,15,2021-03-21,Vietnam Posts and Telecommunications(VNPT),60,60
552,ip,spam,spam_ip,active,113.186.74.178,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),97,60
